review_id,nm_id,category_id,full_text,review_rating,prediction_id,aspect_source,system_aspect_name,gold_aspect_name,gold_rating,predicted_rating,manual_sentiment_decision_norm,comment,pred_round,abs_error,signed_error,round_abs_error,gold_direction,pred_direction,wrong_polarity,strong_wrong_polarity,too_low,too_high,large_too_low,large_too_high,error_type
ym_6bac9620e99ec487_0028,1526918294,services,"Первое и одно из самых главных на досмотре работают хабалки трамвайные,это просто ужас,лицо аэропорта,хамят,матерятся, улетали 04.06.2023.рано утром и было ощущение как будто собрали всех недовольных баб Ставрополья. \nВторое и не мало важное-в зале вылета все мусорки были переполнены на столько что мусор валялся даже вокруг них.\nТретье -  в мужском туалете из всех кабинок бумаги не было ни в одной, освещение как в подвале,не работало на 70%, позорище!!!! Руководство - обратите внимание,неужели вам плевать?!\nВторая звезда только за девочек из перевозок,умнички ,только они и вывозят. Вам девочки из перевозок респект и уважуха. Что регистрация,  что посадка 5 баллов .\nПрилетели 28.05.2023. Багаж ждали почти 40минут, кошмар!!!!",2.0,57a8f7f2e80c1d9b,discovery,маршрутка,Регистрация,5.0,1.003850421795505,OK,Фрагмент про регистрацию.,1,3.996149578204495,-3.996149578204495,4.0,positive,negative,True,True,True,False,True,False,strong_wrong_polarity
LyTBmifropEknewfTjWn,619500952,physical_goods,"Удобно использовать. Покупала на дачу. Когда приезжаю, то и кошку с собой беру. Она на средство не среагировала, всё хорошо. А вот тараканам наоборот плохо. Очень эффективно с ними получается бороться",5.0,94a4c8fc3b3da1a4,discovery,тараканов,Безопасность,5.0,1.0045504226000048,OK,Относится к отсутствию реакции у кошки.,1,3.995449577399995,-3.995449577399995,4.0,positive,negative,True,True,True,False,True,False,strong_wrong_polarity
1IGWO9WgFePXh2jqLBJd,619500952,physical_goods,"Супер средство от тараканов,  безопасное использование, без запаха, безвредно для домашних животных, а результат просто бомба-буквально через неделю избавилась от тараканов без особых усилий.",5.0,ab66efec7ffba2ca,discovery,виден результат,Эффективность,5.0,1.0064066110353451,TOO_LOW,,1,3.993593388964655,-3.993593388964655,4.0,positive,negative,True,True,True,False,True,False,strong_wrong_polarity
UeGXitzSbpiBGuYbi9sj,165234215,physical_goods,"Достоинства: Наживки хорошие...
Спиннинг лопнул вдоль (самое первое колено, к которому крепиться катушка) на первой рыбке ( окунь, грамм на 400), изолентой замотал и нармально😊. 
Катушка сломалась почти сразу (на шестерне зубцы слизало).",2.0,19f01beef6183df4,discovery,колечке,Качество,1.0,4.987353261734825,WRONG_POLARITY,Указывает на поломку (замотал изолентой).,5,3.9873532617348246,3.9873532617348246,4.0,negative,positive,True,True,False,True,False,True,strong_wrong_polarity
qzLgmKKIJiostERjCNlB,619500952,physical_goods,"Достоинства: Средство рабочее
Недостатки: Болит голова
Средство реально рабочее, но только нужно дезинсекцию проводить и уходить из помещения минимум часов на 5, так как даже в проветриваемом помещении болит начинает болеть голова",5.0,cc073b7636bebe63,discovery,хорошее средство,Эффективность,5.0,1.0127369943074882,,,1,3.987263005692512,-3.987263005692512,4.0,positive,negative,True,True,True,False,True,False,strong_wrong_polarity
CQRlT46poS5ecSeFMEnP,254445126,physical_goods,Достоинства: Качество Бомба!!! Спасибо продавцу.,5.0,48a004bc3ab4628d,vocab,Качество,Качество,5.0,1.0130279720760882,WRONG_POLARITY,Оценка системы полностью противоречит отзыву.,1,3.986972027923912,-3.986972027923912,4.0,positive,negative,True,True,True,False,True,False,strong_wrong_polarity
UXCwkkEDOfUfRcZ6INVv,311233470,physical_goods,"Достоинства: Село отлично, НО!
Недостатки: Платье на один раз, после первой носки уже в катышках, выглядит ужасно, не стоит своих денег",2.0,5d10aa765e568bbf,discovery,хорошее платье,Соответствие,5.0,1.015254347701557,WRONG_POLARITY,"Село отлично (позитив), система оценила как 1.01.",1,3.984745652298443,-3.984745652298443,4.0,positive,negative,True,True,True,False,True,False,strong_wrong_polarity
ym_dcfc1c3c2862c040_0074,1809358565,hospitality,"Плюсы: он наверное один, скидка имениннику. \nМинусы: народу море, хотя можно было бы делить посещаемость на время (пример:3 часа и след партия желающих). Очередь на горки огромная. Вентиляция походу плохо работает. Жилеты детям - ужасные, рваные, между ножек лямок нет, лет младшего возраста могут выскользнуть. Люди друг на друге плескаются в этих бассейнах. Места для такой посещаемости очень и очень мало. Больше не приедем. Отвратительно.",1.0,837a6d24ebb798b8,discovery,бассейн,Скидки,5.0,1.0153063570032828,WRONG_POLARITY,Выделенный фрагмент указывает на скидку.,1,3.9846936429967172,-3.9846936429967172,4.0,positive,negative,True,True,True,False,True,False,strong_wrong_polarity
Oj0HyENioo8VFcQJ9q5c,619500952,physical_goods,"Нанесла это средство, чисто по приколу, так как с тараканами борюсь давно, везде рассыпана отрава, в первый день и правда попадались маленькие дохлые тараканчики, но на второй день сосед прервал эксперимент и потравил тараканов у себя, и тараканов у нас больше не обнаружено, а те что были найдены, убиты.
Надеюсь отзыв дополнять не придётся.
В целом всё быстро пришло, в комплект входят перчатки и губка, без запаха, кот и ребенок целы",5.0,44217ba09261f6ad,discovery,тараканов,Безопасность,5.0,1.0189931988425087,OK,Верно нашел 'кот и ребенок целы'.,1,3.9810068011574913,-3.9810068011574913,4.0,positive,negative,True,True,True,False,True,False,strong_wrong_polarity
ym_6bac9620e99ec487_0047,1526918294,services,"Хороший аэропорт, чистый, тихий. Таксисты на выходе встречают, как везде, цены не заряжают, очень демократично, можно брать.",5.0,cc2a5a3d9b93742c,vocab,Цена,Цена,5.0,1.0219145840965211,TOO_LOW,"В тексте оценка высокая ('демократично'), система занизила.",1,3.978085415903479,-3.978085415903479,4.0,positive,negative,True,True,True,False,True,False,strong_wrong_polarity
