slice_type,slice_value,n_reviews,n_pairs,n_gold_strict_polar_pairs,n_gold_strong_polar_pairs,n_same_polar_direction_pairs,mean_vector_l1_distance,mean_vector_l2_distance,mean_cosine_similarity,dominant_class_accuracy,neutral_collapse_rate,polarity_flip_rate,intensity_underestimate_rate
overall,overall,1531,2776,2132,2132,1348,0.8343280068979262,0.573548024030364,0.6718880712156251,0.6563400576368876,0.30816135084427765,0.05956848030018762,0.0
aspect_source,discovery,1264,1665,1315,1315,752,0.8949215098938519,0.6166603871459733,0.6431664758774511,0.6192192192192192,0.3650190114068441,0.06311787072243347,0.0
aspect_source,vocab,759,1111,817,817,596,0.743519561814023,0.5089376868679073,0.7149316861913765,0.711971197119712,0.21664626682986537,0.05385556915544676,0.0
gold_aspect,Аквапарк,20,20,12,12,7,0.9135769535016152,0.6361722326169127,0.6609851727371513,0.7,0.4166666666666667,0.0,0.0
gold_aspect,Аккаунты,1,1,1,1,1,0.0014994892044342123,0.0010602989847714529,0.999999718519716,1.0,0.0,0.0,0.0
gold_aspect,Аккумулятор,2,2,2,2,2,0.3224693723022938,0.22802027987992135,0.9806550849162229,1.0,0.0,0.0,0.0
gold_aspect,Архитектура,1,1,1,1,1,0.06149033468682319,0.04348023263448306,0.999497286911778,1.0,0.0,0.0,0.0
gold_aspect,Ассортимент,4,4,4,4,3,0.7064482696387131,0.49953436201903667,0.761510924027284,0.75,0.25,0.0,0.0
gold_aspect,Атмосфера,22,22,20,20,11,0.8217177111951472,0.5747647048371561,0.6660838583309739,0.5909090909090909,0.45,0.0,0.0
gold_aspect,Аудитория,1,1,1,1,0,1.6434733420610428,1.1621111448706818,0.21200368394586785,0.0,1.0,0.0,0.0
gold_aspect,Багаж,5,5,5,5,2,1.1890457827437786,0.7719998286144665,0.41691545873474467,0.4,0.6,0.0,0.0
gold_aspect,Баня,4,4,2,2,1,1.2723044450976886,0.8113192204351503,0.4297130891425921,0.5,0.5,0.0,0.0
gold_aspect,Бассейн,39,39,32,32,23,0.7160473294892514,0.49587242210639615,0.74763170875256,0.7692307692307693,0.15625,0.125,0.0
gold_aspect,Батарея,2,2,0,0,0,1.3914771638810635,0.9839229384465249,0.4017479693069186,0.0,0.0,0.0,0.0
gold_aspect,Безопасность,39,39,33,33,15,1.1695171031016611,0.8046817142403305,0.5125725108170551,0.48717948717948717,0.3333333333333333,0.21212121212121213,0.0
gold_aspect,Белье,2,2,2,2,0,1.7120294654741883,1.2105876446279789,0.1840274678281117,0.0,1.0,0.0,0.0
gold_aspect,Блесна,5,5,5,5,3,0.9905219154432416,0.6536769866251969,0.5883969570494134,0.6,0.0,0.4,0.0
gold_aspect,Бронирование,2,2,1,1,0,1.208849087357521,0.8389741043189323,0.46289633910657996,0.5,1.0,0.0,0.0
gold_aspect,Буфет,1,1,1,1,1,0.08521639456739649,0.060257090466874524,0.999011145573379,1.0,0.0,0.0,0.0
gold_aspect,Вентиляция,3,3,3,3,3,0.3130938868731998,0.2213908105560933,0.9186417115027643,1.0,0.0,0.0,0.0
gold_aspect,Верификация,1,1,1,1,1,0.023906220216304064,0.016904250427487538,0.9999268306720631,1.0,0.0,0.0,0.0
gold_aspect,Вес,8,8,7,7,3,0.9069242201903762,0.6412922661189366,0.6308969853259141,0.5,0.5714285714285714,0.0,0.0
gold_aspect,Вид,24,24,23,23,8,1.3266117678637481,0.9149056179865632,0.4108077762353057,0.375,0.5652173913043478,0.08695652173913043,0.0
gold_aspect,Вместимость,5,5,0,0,0,0.4562030785949901,0.322584290472697,0.8933625196520083,1.0,0.0,0.0,0.0
gold_aspect,Вместительность,7,7,4,4,4,0.4146134454557406,0.28101471514448384,0.9020141552276394,1.0,0.0,0.0,0.0
gold_aspect,Внешний вид,133,133,104,104,78,0.6976686046285142,0.4752878917439011,0.7596166841953659,0.7593984962406015,0.21153846153846154,0.038461538461538464,0.0
gold_aspect,Вода,2,2,2,2,0,1.552369165699929,1.097690763971323,0.30214230408430054,0.0,1.0,0.0,0.0
