aspect_dimension,slice_type,slice_value,n_reviews,system_rows,gold_rows,tp,fp,fn,unclear,duplicate,out_of_scope,gold_unclear,manual_precision_strict,manual_precision_soft,manual_recall,manual_f1_strict,manual_f1_soft,notes,n_pairs,manual_sentiment_mae,manual_sentiment_mae_round,manual_accuracy_at_0_5,manual_accuracy_at_1_0,manual_accuracy_at_1_5,manual_direction_accuracy,manual_macro_direction_f1,manual_wrong_polarity_rate,manual_strong_wrong_polarity_rate,manual_mean_signed_error,manual_rmse
gold_aspect,gold_aspect,Аквапарк,20,20,67,20,0,45,0,0,0,2,,,0.3076923076923077,,,FP/UNCLEAR are not attributable to gold_aspect; precision/F1 undefined.,20,0.9799414822991821,1.0,0.25,0.55,0.75,0.6,0.4230769230769231,0.1,0.0,-0.7040862451787688,1.1726903427973359
gold_aspect,gold_aspect,Аккаунты,1,1,1,1,0,0,0,0,0,0,,,1.0,,,FP/UNCLEAR are not attributable to gold_aspect; precision/F1 undefined.,1,0.0014994892044342123,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.0014994892044342123,0.0014994892044342123
gold_aspect,gold_aspect,Аккумулятор,2,2,5,2,0,3,0,0,0,0,,,0.4,,,FP/UNCLEAR are not attributable to gold_aspect; precision/F1 undefined.,2,0.3224693723022938,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.0,0.06851880252361298,0.3296685037614379
gold_aspect,gold_aspect,Алгоритмы,0,0,1,0,0,1,0,0,0,0,,,0.0,,,FP/UNCLEAR are not attributable to gold_aspect; precision/F1 undefined.,0,,,,,,,,,,,
gold_aspect,gold_aspect,Архитектура,1,1,1,1,0,0,0,0,0,0,,,1.0,,,FP/UNCLEAR are not attributable to gold_aspect; precision/F1 undefined.,1,0.06149033468682319,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,-0.06149033468682319,0.06149033468682319
gold_aspect,gold_aspect,Ассортимент,4,4,8,4,0,4,0,0,0,0,,,0.5,,,FP/UNCLEAR are not attributable to gold_aspect; precision/F1 undefined.,4,0.7064482696387131,0.75,0.5,0.75,0.75,1.0,0.3333333333333333,0.0,0.0,-0.7064482696387131,0.9153781669788043
gold_aspect,gold_aspect,Атмосфера,22,22,38,22,0,15,0,0,0,1,,,0.5945945945945946,,,FP/UNCLEAR are not attributable to gold_aspect; precision/F1 undefined.,22,0.8417428376618442,0.7727272727272727,0.45454545454545453,0.5909090909090909,0.7727272727272727,0.7727272727272727,0.5416666666666666,0.045454545454545456,0.0,-0.5690570235818252,1.1401309438484852
gold_aspect,gold_aspect,Аудитория,1,1,1,1,0,0,0,0,0,0,,,1.0,,,FP/UNCLEAR are not attributable to gold_aspect; precision/F1 undefined.,1,1.6434733420610428,2.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,-1.6434733420610428,1.6434733420610428
gold_aspect,gold_aspect,Багаж,5,5,5,5,0,0,0,0,0,0,,,1.0,,,FP/UNCLEAR are not attributable to gold_aspect; precision/F1 undefined.,5,1.4770787622619537,1.6,0.4,0.4,0.4,0.4,0.2222222222222222,0.4,0.0,-1.4354021940540407,1.9086164827886303
gold_aspect,gold_aspect,Баня,4,4,44,4,0,39,0,0,0,1,,,0.09302325581395349,,,FP/UNCLEAR are not attributable to gold_aspect; precision/F1 undefined.,4,1.6814752906211652,1.5,0.25,0.25,0.5,0.25,0.13333333333333333,0.75,0.25,-0.998928434739355,1.9697281179895798
